2	69	11
2	141	22
3	14	31
4	88	14
4	90	14
4	165	14
5	31	15
5	51	15
5	87	18
6	31	22
6	39	26
6	72	18
6	79	12
6	87	26
6	253	21
7	3	105
8	99	13
8	123	11
8	141	13
8	148	12
9	51	13
9	87	15
9	253	27
10	51	26
11	143	13
12	51	18
12	56	15
12	87	12
13	153	16
14	3	57
16	88	17
16	169	11
18	202	47
19	225	50
20	35	16
20	202	15
21	30	12
21	88	11
22	140	12
23	31	42
23	39	13
23	84	12
23	140	16
23	234	17
23	253	12
25	34	22
25	52	12
25	149	15
25	237	16
25	241	13
25	256	22
27	47	11
27	49	12
27	143	29
27	161	19
27	169	19
27	178	22
27	254	11
27	256	12
27	263	18
29	3	48
29	33	28
29	136	16
29	148	13
29	234	20
31	36	11
31	77	15
31	119	19
31	188	133
31	258	16
32	41	20
32	65	22
32	195	18
33	217	21
33	234	22
34	35	14
35	65	40
36	121	25
37	36	25
37	121	32
38	40	78
39	38	28
39	40	64
40	38	18
40	46	12
41	32	19
41	38	14
41	236	12
42	133	13
43	143	20
43	155	11
44	15	25
45	140	11
46	40	34
47	53	34
47	90	42
47	159	33
48	29	19
48	140	20
48	238	16
48	239	17
49	31	13
49	165	20
49	253	23
50	58	14
51	13	13
52	26	13
52	241	12
53	227	46
54	53	13
54	159	11
55	91	13
57	87	15
58	157	47
59	35	17
61	15	14
61	193	11
64	140	15
65	40	44
67	84	23
68	56	12
68	72	26
69	33	73
70	73	84
70	177	17
71	72	24
71	253	12
73	70	24
74	29	18
75	76	16
80	70	15
80	250	13
80	256	28
80	278	27
81	56	24
81	87	26
82	21	17
82	88	26
82	165	42
83	147	17
84	32	11
84	35	108
84	65	13
85	170	31
86	206	13
89	170	12
90	4	11
90	105	21
90	184	15
90	202	186
90	263	14
91	90	14
91	105	15
91	143	21
91	202	56
91	203	143
94	29	13
94	74	12
94	234	19
95	202	14
96	84	12
97	31	17
97	39	11
98	127	16
98	186	15
100	72	14
102	223	16
103	88	12
105	91	13
105	203	97
106	108	18
107	63	11
108	106	11
109	108	21
110	88	11
110	92	12
111	24	11
112	63	15
112	87	18
113	157	11
114	91	20
116	202	19
117	121	48
118	88	24
120	19	21
121	36	36
121	37	29
121	117	65
121	127	20
121	133	18
121	216	32
121	251	12
122	88	25
123	14	14
124	202	38
126	234	58
127	85	24
127	183	12
128	190	13
129	139	12
130	203	13
130	218	18
131	206	18
132	101	11
132	143	15
133	37	28
134	125	11
135	164	11
135	202	15
136	141	36
136	148	33
137	136	22
137	148	17
138	62	19
138	104	12
138	146	25
140	1	13
140	28	15
140	29	26
140	31	82
140	51	46
140	53	47
140	87	59
140	90	61
140	115	16
140	148	50
140	149	22
140	159	52
140	222	13
140	238	19
140	239	25
140	246	13
140	256	16
140	274	15
141	136	155
141	197	15
143	18	12
143	99	14
143	132	12
143	202	176
144	17	11
144	117	18
144	181	14
145	37	11
148	2	13
148	136	188
148	141	51
148	170	15
150	17	13
150	66	18
150	146	12
152	19	11
153	13	18
154	175	15
156	146	15
157	193	23
158	31	32
158	140	18
159	47	11
159	164	27
160	164	19
160	229	38
161	164	24
161	233	14
162	108	27
163	225	16
164	229	16
165	4	12
165	21	17
166	251	17
167	17	11
168	91	16
169	91	14
169	203	37
171	191	12
172	194	11
172	225	16
173	146	11
174	78	17
176	15	20
176	69	11
176	193	12
177	73	14
179	136	27
179	141	18
179	148	13
180	38	19
180	60	16
182	91	25
182	99	12
182	141	20
182	143	20
182	179	13
186	267	11
187	24	15
188	31	24
188	258	24
189	93	14
192	186	23
192	190	15
196	91	13
197	136	88
197	148	18
198	236	14
198	271	12
200	190	14
201	127	13
202	18	17
202	105	57
202	116	11
202	212	13
202	228	12
203	91	43
204	140	20
205	18	13
205	105	125
205	202	143
207	190	14
209	185	12
210	115	13
211	162	15
213	29	13
213	140	12
214	91	20
214	141	23
215	218	22
216	121	42
217	33	55
217	234	12
219	17	20
220	24	14
223	221	22
224	146	21
225	221	26
226	31	11
226	234	11
228	202	12
229	227	13
230	111	12
231	164	11
231	227	36
232	90	13
234	2	11
234	15	20
234	33	132
234	151	11
234	193	11
234	217	15
235	131	17
239	34	16
240	26	17
240	72	12
242	91	24
243	90	15
243	140	44
243	148	21
244	218	65
245	130	12
245	178	12
247	75	11
247	253	55
248	72	23
249	31	24
249	39	15
249	51	13
249	84	11
249	87	14
250	70	11
250	142	12
251	121	33
252	13	14
252	26	13
252	51	21
252	75	19
252	87	29
252	247	17
252	253	57
252	277	11
253	70	13
253	73	33
254	26	39
254	39	34
254	51	25
254	72	31
254	84	29
254	87	36
254	90	36
254	140	13
254	148	19
254	234	27
254	236	14
255	56	12
255	253	23
256	31	20
256	70	19
256	73	38
256	147	11
256	188	16
257	130	12
258	38	14
258	188	56
259	140	11
260	234	18
261	31	20
261	234	21
262	31	19
262	234	23
263	31	27
263	90	57
263	140	17
263	148	18
264	234	24
265	31	21
265	253	12
266	34	15
266	39	22
266	84	19
267	181	16
267	199	11
268	63	18
269	31	17
270	256	20
272	148	16
273	53	25
273	148	20
275	56	19
275	72	15
275	253	22
276	31	16
276	51	44
276	87	39
276	253	23
278	32	13
278	35	89
279	1	15
279	27	13
279	29	11
279	124	18
279	140	35
279	208	15
279	239	11
