798
9515
711,707,5
507,481,3
548,585,3
128,404,5
313,152,5
223,485,2
333,357,1
775,338,1
526,620,1
731,1,1
621,722,4
548,728,7
109,510,1
368,696,1
313,265,2
560,262,7
545,438,1
555,125,2
4,781,1
540,719,1
587,684,2
40,569,6
203,167,2
421,228,1
249,485,5
321,48,8
485,749,3
269,304,2
145,226,1
741,120,1
193,254,1
284,211,1
568,478,1
327,143,2
130,713,1
517,491,2
541,501,1
507,523,2
766,703,5
458,93,9
701,15,2
526,458,1
680,790,4
454,417,1
115,731,3
421,312,7
60,104,1
615,734,1
525,178,1
226,513,2
418,558,5
775,558,3
458,566,2
211,93,4
747,127,2
533,520,1
758,797,1
284,417,2
490,127,1
560,553,5
465,299,1
567,482,1
304,247,1
470,708,4
549,495,1
63,607,1
284,792,4
620,564,1
483,680,1
10,312,1
548,312,2
540,143,1
574,565,3
310,223,2
348,262,1
690,508,3
266,17,5
548,399,1
474,476,6
537,186,2
741,442,2
210,434,5
708,181,15
67,71,1
512,456,1
345,425,1
91,93,1
370,44,1
426,234,2
462,548,1
548,621,1
493,178,1
630,797,2
713,699,33
20,309,3
351,421,1
423,792,1
446,459,6
449,421,8
413,569,4
610,696,1
111,485,1
142,115,1
90,288,1
610,555,2
740,442,12
485,769,2
142,226,1
199,23,1
312,713,1
60,447,2
619,584,1
587,438,1
38,482,4
667,510,1
500,421,1
622,668,5
734,442,1
98,456,7
540,151,11
63,553,4
743,440,1
568,728,11
374,140,1
468,566,1
277,396,4
466,311,1
103,219,1
237,417,1
130,126,2
461,624,2
705,498,3
690,102,4
230,311,1
626,651,12
288,766,6
328,315,1
2,36,1
478,545,1
395,223,2
396,364,1
447,643,1
512,616,2
175,752,5
487,691,1
484,388,1
349,558,1
426,541,2
483,708,1
368,10,3
358,260,2
395,266,1
783,242,1
200,162,2
312,476,2
651,93,1
401,730,14
517,572,7
55,749,2
538,761,1
152,436,1
245,783,1
713,629,8
510,701,1
494,38,2
462,512,1
102,539,1
506,624,4
413,452,1
623,79,23
460,33,8
526,548,4
468,564,4
705,463,4
68,558,1
507,6,1
40,723,4
475,548,5
80,212,1
525,523,1
553,539,3
458,465,1
512,662,1
313,434,2
720,564,5
513,585,1
421,481,1
313,744,1
445,38,2
14,5,31
222,424,1
13,767,1
628,130,2
142,288,1
667,474,1
541,445,1
669,616,6
191,740,1
452,548,5
706,751,20
303,783,1
142,395,3
93,167,3
22,237,1
540,362,3
559,62,2
40,476,20
532,631,1
705,478,17
366,384,1
747,71,1
88,456,33
55,156,1
225,177,4
427,541,6
432,501,1
456,507,9
258,337,2
794,399,1
125,457,4
487,678,1
456,74,1
82,508,8
728,566,1
358,337,1
489,6,4
200,79,1
438,473,1
721,723,1
336,383,2
318,547,1
493,455,3
722,191,1
464,211,1
394,226,1
548,455,1
459,456,1
261,338,3
445,533,1
797,288,2
85,638,1
711,734,2
142,751,2
180,294,1
555,370,1
243,510,1
48,752,1
159,708,3
418,478,3
226,535,4
130,417,1
657,695,2
475,512,1
460,212,2
134,413,1
530,462,2
14,199,2
420,570,1
402,93,1
222,362,1
283,226,37
377,643,6
531,72,1
520,471,2
792,540,3
441,626,2
374,208,1
543,785,2
623,551,1
293,22,2
313,680,1
501,211,2
265,525,3
216,93,5
17,92,2
455,262,5
493,591,3
151,9,4
122,395,2
623,773,5
425,529,1
630,35,3
540,223,2
724,428,2
102,456,2
574,673,3
719,363,1
350,266,1
705,265,1
425,494,1
175,485,1
527,624,3
767,95,1
89,540,2
719,280,8
480,175,3
515,376,3
16,65,1
719,137,1
576,393,1
462,226,1
103,212,1
549,458,3
10,434,2
599,596,2
728,611,1
250,747,2
456,102,4
177,316,3
486,262,1
153,315,1
214,412,1
309,440,2
557,226,3
172,128,16
357,396,4
195,33,2
197,723,2
509,705,1
792,13,1
280,289,5
635,639,1
318,313,4
506,569,1
159,555,1
199,494,5
630,557,1
756,757,1
705,621,3
367,569,4
526,621,2
740,37,3
313,264,2
460,105,2
560,263,1
707,440,1
749,214,1
396,258,1
695,651,1
494,312,4
351,465,3
749,190,1
625,678,2
513,512,1
553,595,3
716,9,6
40,570,13
477,539,2
367,667,1
706,19,1
619,734,3
623,458,29
75,96,2
493,785,12
481,713,4
501,262,1
193,253,2
269,128,1
143,667,2
313,708,2
740,741,1
445,479,1
377,505,2
507,522,5
734,479,10
476,507,1
526,459,1
197,319,2
607,228,2
120,708,1
46,172,4
144,212,1
92,698,2
199,630,5
19,756,1
631,659,4
130,10,13
784,19,1
134,734,2
785,494,1
70,368,2
607,555,1
424,304,1
520,621,1
82,162,2
45,46,25
582,223,1
664,632,1
205,680,2
194,667,1
177,463,12
529,626,1
39,696,1
267,218,5
513,134,2
327,203,1
38,667,2
573,730,4
522,348,1
543,486,3
766,245,2
474,477,1
77,80,1
228,204,1
351,193,1
181,210,1
38,499,9
591,411,1
560,453,5
57,582,8
450,245,1
158,290,2
548,622,2
219,304,15
363,280,2
223,472,2
705,585,15
759,698,1
134,315,10
119,283,43
569,490,1
237,172,3
274,182,2
256,469,56
5,38,48
544,696,4
446,456,1
85,264,2
792,438,5
481,523,1
553,591,1
38,703,1
706,119,1
630,478,57
387,152,3
191,722,1
558,556,2
216,102,4
17,395,1
143,767,1
402,327,6
574,177,2
297,171,1
575,728,4
135,703,1
374,395,2
191,707,1
1,703,5
678,211,1
383,171,1
739,451,1
540,144,1
145,510,1
84,20,1
156,745,1
784,706,15
586,370,1
89,698,1
236,319,2
539,40,1
158,424,1
505,426,1
771,744,7
107,42,1
745,84,1
40,481,21
622,695,4
757,156,1
85,667,1
705,497,1
230,308,1
547,498,4
71,540,1
628,751,4
93,315,4
421,573,1
197,327,3
432,458,1
767,228,1
73,456,6
628,286,1
520,521,1
371,239,2
63,749,16
326,117,1
525,264,2
34,485,1
16,792,4
624,461,1
207,311,1
41,763,1
337,348,1
210,226,10
159,175,2
93,695,2
315,357,1
244,261,2
745,248,2
358,261,2
513,226,1
348,491,1
607,235,1
181,133,7
759,284,1
249,8,1
214,311,1
161,185,8
769,314,1
788,2,3
722,506,1
560,481,6
337,792,2
413,451,2
199,438,5
110,119,1
423,174,1
299,484,1
748,653,1
566,415,1
111,395,10
591,669,2
705,710,4
501,555,2
446,484,1
289,319,1
473,10,1
458,478,1
460,256,5
134,577,2
262,522,1
288,113,1
327,48,1
406,705,1
610,460,3
85,14,1
216,211,7
569,413,3
536,518,1
166,193,1
249,269,1
680,120,1
71,188,1
438,705,1
596,493,2
65,355,1
749,313,2
786,453,1
1,667,1
199,792,4
53,95,2
706,748,18
193,455,1
749,714,1
771,56,1
226,510,8
630,119,14
188,222,2
705,300,1
672,659,2
788,797,1
40,477,19
774,792,1
705,477,2
547,494,1
505,311,1
20,630,1
482,705,1
580,574,1
68,282,1
723,197,1
145,535,1
438,188,1
491,782,1
