21	70	1
21	78	1
39	15	1
79	1	1
81	79	2
81	80	2
81	93	1
81	122	1
81	129	2
81	130	1
81	131	1
81	385	1
123	44	1
123	79	2
123	127	2
123	133	1
124	7	1
124	11	1
124	79	1
124	132	1
125	79	1
125	223	1
234	79	1
250	5	1
250	6	1
250	8	4
250	10	2
251	2	2
252	2	2
253	2	1
254	4	1
255	5	3
255	6	2
255	7	5
255	8	11
255	10	2
255	11	1
255	385	1
256	5	4
256	6	8
256	7	2
256	8	5
256	11	4
256	12	1
256	391	1
256	403	1
257	8	1
258	7	3
258	8	9
258	13	1
258	14	1
258	18	1
258	385	1
259	8	1
260	7	30
260	8	3
260	14	2
260	15	2
260	16	1
260	45	1
260	51	7
260	388	1
260	389	1
261	8	1
262	8	1
262	18	2
263	20	2
264	6	1
264	7	1
264	8	1
264	10	2
264	11	1
264	22	2
264	41	1
264	391	1
265	8	1
265	22	1
266	7	3
266	8	1
266	14	15
266	19	2
266	34	4
266	37	9
266	62	1
266	122	1
266	227	1
266	385	1
267	6	2
267	7	3
267	8	1
267	23	2
267	391	1
268	8	1
269	7	4
269	24	3
270	7	2
270	16	4
270	25	14
270	26	7
270	27	1
270	28	1
270	29	1
270	386	2
271	7	4
271	25	3
271	29	2
271	30	3
271	35	1
272	7	3
272	25	4
272	26	1
272	29	2
272	31	9
272	32	8
272	33	1
272	387	2
272	390	1
273	7	1
273	14	1
273	19	4
273	34	2
273	36	1
273	385	1
274	7	23
274	14	1
274	15	3
274	34	1
274	51	4
274	124	1
274	393	1
275	7	17
275	15	5
275	19	3
275	27	2
275	35	1
275	36	1
275	37	1
275	38	1
275	40	3
275	93	1
276	7	3
276	16	5
276	25	11
276	26	4
276	30	3
276	42	4
276	43	1
276	392	1
277	7	9
277	15	2
277	16	5
277	27	1
277	393	2
278	7	4
278	27	11
278	28	1
278	46	1
278	47	1
278	48	3
278	49	1
278	50	1
278	64	1
278	393	3
279	7	3
279	15	2
279	16	3
279	19	2
279	25	2
279	29	1
279	52	2
279	69	1
279	391	1
280	7	2
280	20	6
280	45	2
280	51	1
280	52	1
281	7	11
281	24	1
281	53	1
282	7	2
283	7	5
283	54	1
284	7	1
284	8	2
284	391	1
285	7	6
285	25	12
285	32	3
285	385	1
285	393	1
286	7	3
286	15	4
286	16	4
286	19	2
286	27	4
286	40	1
286	52	2
287	7	1
287	11	1
287	24	1
287	51	5
287	55	1
287	411	1
288	7	11
288	16	2
288	29	2
288	40	1
288	51	10
288	53	1
288	56	3
288	388	1
289	7	11
289	20	2
289	41	2
289	45	1
289	225	1
289	389	1
289	394	1
289	395	1
290	5	11
290	7	1
290	8	9
290	10	1
290	11	1
290	14	1
290	17	3
290	18	2
290	34	1
290	63	1
290	122	1
290	385	1
290	421	1
291	59	7
291	60	1
292	8	1
292	14	2
293	7	6
293	15	3
293	16	4
293	19	2
293	27	2
293	40	1
293	51	1
293	52	7
293	77	1
293	224	1
294	7	2
294	25	7
294	29	5
294	31	4
294	32	6
294	56	1
294	64	1
294	411	1
295	7	7
295	8	5
295	51	1
296	7	2
296	16	1
296	25	1
296	42	5
296	65	2
297	7	1
297	14	7
297	19	1
297	62	3
297	122	1
298	7	8
298	10	5
298	11	3
298	17	1
298	22	1
298	23	5
298	45	2
298	51	2
298	53	3
298	66	3
298	67	1
298	68	1
298	127	1
298	138	1
298	225	1
298	394	1
299	6	9
299	7	2
299	10	3
299	11	5
299	20	1
299	22	11
299	41	2
299	393	2
300	6	8
300	7	1
300	10	1
300	11	2
300	12	1
300	20	2
300	22	12
300	32	1
300	41	5
300	71	1
300	72	1
300	73	1
300	79	1
300	391	1
300	403	2
301	7	1
301	10	3
301	23	1
301	51	1
301	53	5
301	74	6
301	75	1
302	7	1
302	76	3
303	7	1
303	106	1
304	79	3
304	80	11
304	81	1
304	84	1
304	93	3
304	101	2
304	104	2
304	170	1
305	79	5
305	80	16
305	81	3
305	83	8
305	85	4
305	86	1
305	87	2
305	88	4
305	89	1
305	90	1
305	91	2
305	92	2
305	93	5
305	94	1
305	95	1
305	96	2
305	97	2
305	98	1
305	396	3
305	397	2
305	401	2
306	79	2
306	80	7
306	81	1
307	79	3
307	80	12
307	81	1
307	128	2
308	79	3
308	80	5
308	81	2
308	100	1
308	123	1
309	79	3
309	80	10
309	81	2
309	85	1
309	93	3
309	96	5
309	99	3
309	104	3
309	105	4
309	106	5
309	107	4
309	399	2
309	400	2
309	405	1
310	80	4
310	81	1
310	84	3
310	99	3
310	101	6
310	102	6
310	103	7
310	104	4
310	105	1
310	108	1
310	109	2
310	123	1
310	128	1
310	398	1
311	79	2
311	80	1
311	84	1
311	123	1
312	79	3
313	79	3
313	80	17
313	81	1
313	84	2
313	85	5
313	99	1
313	123	1
314	79	2
314	82	1
314	83	1
314	93	3
314	100	1
314	110	1
314	111	3
314	118	1
314	119	1
314	120	1
314	121	1
314	408	1
315	79	4
315	93	2
315	110	2
315	111	1
315	119	1
315	120	1
315	393	1
316	79	1
317	79	4
318	79	2
318	93	1
318	110	1
318	111	1
318	120	1
319	79	2
319	93	1
319	112	1
320	79	3
320	111	1
320	120	1
321	79	1
321	93	1
321	110	1
321	111	1
322	79	1
322	110	1
322	111	1
323	79	1
323	99	2
323	106	3
323	402	1
324	57	1
